Major Category,Major,Year,Degree,Completions
Communication Technologies,Communications Technology,2022,Bachelors Degree,13
Communication Technologies,Photographic & Video Technology,2022,Bachelors Degree,26
Communication Technologies,Prepress Publising & Digital Imaging Design,2022,Bachelors Degree,0
Communication Technologies,"Animation, Interactive Technology, Video Graphics, & Special Effects",2022,Bachelors Degree,182
Computer and Information Sciences and Support Services,General Computer & Information Sciences,2022,Bachelors Degree,971
Computer and Information Sciences and Support Services,Information Technology,2022,Bachelors Degree,137
Computer and Information Sciences and Support Services,Other Computer & Information Sciences,2022,Bachelors Degree,20
Computer and Information Sciences and Support Services,Information Science,2022,Bachelors Degree,773
Computer and Information Sciences and Support Services,Computer Systems Analysis,2022,Bachelors Degree,22
Computer and Information Sciences and Support Services,Computer Science,2022,Bachelors Degree,1459
Computer and Information Sciences and Support Services,"Web Page, Digital, & Information Resource Design",2022,Bachelors Degree,440
Computer and Information Sciences and Support Services,Computer Graphics,2022,Bachelors Degree,63
Computer and Information Sciences and Support Services,Other Computer Software & Media Applications,2022,Bachelors Degree,53
Computer and Information Sciences and Support Services,Computer Systems Networking & Telecommunications,2022,Bachelors Degree,9
Computer and Information Sciences and Support Services,Network & System Administration,2022,Bachelors Degree,9
Computer and Information Sciences and Support Services,Computer & Information Systems Security,2022,Bachelors Degree,271
Computer and Information Sciences and Support Services,Information Technology Project Management,2022,Bachelors Degree,44
Computer and Information Sciences and Support Services,Other Computer & Information Technology Services Management,2022,Bachelors Degree,45
Computer and Information Sciences and Support Services,Other Computer & Information Support Services,2022,Bachelors Degree,14
Education,General Education,2022,Bachelors Degree,32
Education,Bilingual & Multilingual Education,2022,Bachelors Degree,34
Education,General Special Education & Teaching,2022,Bachelors Degree,226
Education,Education of Individuals with Multiple Disabilities,2022,Bachelors Degree,4
Education,Education of Individuals with Speech or Language Impairments,2022,Bachelors Degree,0
Education,Education of Individuals in Early Childhood Special Education Programs,2022,Bachelors Degree,49
Education,Education of Individuals in Elementary Special Education Programs,2022,Bachelors Degree,18
Education,Education of Individuals in Middle School Special Education Programs,2022,Bachelors Degree,0
Education,Other Special Education & Teaching,2022,Bachelors Degree,1
Education,Elementary Education & Teaching,2022,Bachelors Degree,586
Education,Middle School Education & Teaching,2022,Bachelors Degree,0
Education,Secondary Education & Teaching,2022,Bachelors Degree,4
Education,Early Childhood Education & Teaching,2022,Bachelors Degree,213
Education,Art Teacher Education,2022,Bachelors Degree,19
Education,Business Teacher Education,2022,Bachelors Degree,0
Education,English & Language Arts Teacher Education,2022,Bachelors Degree,94
Education,Foreign Language Teacher Education,2022,Bachelors Degree,5
Education,Health Teacher Education,2022,Bachelors Degree,0
Education,Family & Consumer Sciences Teacher Education,2022,Bachelors Degree,1
Education,Technology & Industrial Arts Teacher Education,2022,Bachelors Degree,7
Education,Mathematics Teacher Education,2022,Bachelors Degree,112
Education,Music Teacher Education,2022,Bachelors Degree,28
Education,Physical Education Teaching & Coaching,2022,Bachelors Degree,97
Education,General Science Teacher Education,2022,Bachelors Degree,0
Education,Social Science Teacher Education,2022,Bachelors Degree,0
Education,Social Studies Teacher Education,2022,Bachelors Degree,112
Education,Trade & Industrial Teacher Education,2022,Bachelors Degree,0
Education,Computer Teacher Education,2022,Bachelors Degree,0
Education,Biology Teacher Education,2022,Bachelors Degree,20
Education,Chemistry Teacher Education,2022,Bachelors Degree,4
Education,Drama & Dance Teacher Education,2022,Bachelors Degree,0
Education,French Language Teacher Education,2022,Bachelors Degree,2
Education,German Language Teacher Education,2022,Bachelors Degree,0
Education,History Teacher Education,2022,Bachelors Degree,16
Education,Physics Teacher Education,2022,Bachelors Degree,4
Education,Spanish Language Teacher Education,2022,Bachelors Degree,29
Education,Speech Teacher Education,2022,Bachelors Degree,0
Education,Latin Teacher Education,2022,Bachelors Degree,0
Education,Earth Science Teacher Education,2022,Bachelors Degree,2
Education,Other Teacher Education & Professional Development,2022,Bachelors Degree,0
Education,Teaching English as a Second or Foreign Language Instructor,2022,Bachelors Degree,25
Education,Other Education,2022,Bachelors Degree,0
Engineering,General Engineering,2022,Bachelors Degree,31
Engineering,Pre-Engineering,2022,Bachelors Degree,0
Engineering,Bioengineering & Biomedical Engineering,2022,Bachelors Degree,80
Engineering,Chemical Engineering,2022,Bachelors Degree,141
Engineering,General Civil Engineering,2022,Bachelors Degree,234
Engineering,General Computer Engineering,2022,Bachelors Degree,130
Engineering,Electrical & Electronics Engineering,2022,Bachelors Degree,261
Engineering,"Other Electrical, Electronics, & Communications Engineering",2022,Bachelors Degree,4
Engineering,Engineering Mechanics,2022,Bachelors Degree,0
Engineering,Engineering Physics & Applied Physics,2022,Bachelors Degree,45
Engineering,Environmental Health Engineering,2022,Bachelors Degree,45
Engineering,Mechanical Engineering,2022,Bachelors Degree,458
Engineering,Naval Architecture & Marine Engineering,2022,Bachelors Degree,41
Engineering,Industrial Engineering,2022,Bachelors Degree,29
Engineering,Operations Research,2022,Bachelors Degree,73
Engineering,Other Engineering,2022,Bachelors Degree,0
Engineering Technologies,"Electrical, Electronic, & Communications Engineering Technology",2022,Bachelors Degree,38
Engineering Technologies,Telecommunications Technology,2022,Bachelors Degree,10
Engineering Technologies,Other Electrical Engineering Technology,2022,Bachelors Degree,9
Engineering Technologies,Biomedical Technology,2022,Bachelors Degree,2
Engineering Technologies,Electromechanical Technology,2022,Bachelors Degree,0
Engineering Technologies,Mechanical Engineering Technology,2022,Bachelors Degree,91
Engineering Technologies,Construction Engineering Technology,2022,Bachelors Degree,79
Engineering Technologies,Computer Engineering Technology,2022,Bachelors Degree,109
Engineering Technologies,Engineering & Industrial Management,2022,Bachelors Degree,69
Engineering Technologies,Other Engineering Technologies & Engineering-Related Fields,2022,Bachelors Degree,0
Language & Linguistics,General Foreign Languages & Literatures,2022,Bachelors Degree,7
Language & Linguistics,Linguistics,2022,Bachelors Degree,47
Language & Linguistics,Comparative Literature,2022,Bachelors Degree,49
Language & Linguistics,Chinese Language & Literature,2022,Bachelors Degree,49
Language & Linguistics,"General Slavic Languages, Literatures, & Linguistics",2022,Bachelors Degree,12
Language & Linguistics,Russian Language & Literature,2022,Bachelors Degree,11
Language & Linguistics,German Language & Literature,2022,Bachelors Degree,14
Language & Linguistics,"Other Germanic Languages, Literatures, & Linguistics",2022,Bachelors Degree,0
Language & Linguistics,"General Romance Languages, Literatures, & Linguistics",2022,Bachelors Degree,25
Language & Linguistics,French Language & Literature,2022,Bachelors Degree,49
Language & Linguistics,Italian Language & Literature,2022,Bachelors Degree,12
Language & Linguistics,Portuguese Language & Literature,2022,Bachelors Degree,1
Language & Linguistics,Spanish Language & Literature,2022,Bachelors Degree,156
Language & Linguistics,Arabic Language & Literature,2022,Bachelors Degree,3
Language & Linguistics,Hebrew Language & Literature,2022,Bachelors Degree,1
Language & Linguistics,"Other Middle/Near Eastern & Semetic Languages, Literatures, & Linguistics",2022,Bachelors Degree,16
Language & Linguistics,"General Classical Language, Literature, & Linguistics",2022,Bachelors Degree,26
Language & Linguistics,Ancient/Classical Greek Language & Literature,2022,Bachelors Degree,0
Language & Linguistics,Latin Language & Literature,2022,Bachelors Degree,2
Language & Linguistics,"Other Classical Languages, Literature, & Linguistics",2022,Bachelors Degree,0
Language & Linguistics,"Other Foreign Languages, Literatures, & Linguistics",2022,Bachelors Degree,5
Human Sciences,General Family & Consumer Sciences,2022,Bachelors Degree,40
Human Sciences,"General Food, Nutrition, & Wellness Studies",2022,Bachelors Degree,33
Human Sciences,Facilities Planning & Management,2022,Bachelors Degree,21
Human Sciences,General Human Development & Family Studies,2022,Bachelors Degree,7
Human Sciences,Apparel & Textile Manufacture,2022,Bachelors Degree,56
Legal,General Legal Studies,2022,Bachelors Degree,256
Legal,Pre-Law Studies,2022,Bachelors Degree,0
Legal,Paralegal,2022,Bachelors Degree,40
Legal,Other Legal Professions & Studies,2022,Bachelors Degree,41
English,General English Language & Literature,2022,Bachelors Degree,1112
English,Creative Writing,2022,Bachelors Degree,107
English,"Professional, Technical, Business, & Scientific Writing",2022,Bachelors Degree,16
English,Rhetoric & Composition,2022,Bachelors Degree,0
English,General Literature,2022,Bachelors Degree,56
English,British & Commonwealth English Literature,2022,Bachelors Degree,111
English,Other Literature,2022,Bachelors Degree,1
Liberal Arts & Humanities,Liberal Arts & Sciences,2022,Bachelors Degree,954
Liberal Arts & Humanities,General Studies,2022,Bachelors Degree,0
Liberal Arts & Humanities,Humanistic Studies,2022,Bachelors Degree,77
Liberal Arts & Humanities,"Other Liberal Arts & Sciences, General Studies, & Humanities",2022,Bachelors Degree,57
Biology,General Biological Sciences,2022,Bachelors Degree,1959
Biology,General Biomedical Sciences,2022,Bachelors Degree,109
Biology,Biochemistry,2022,Bachelors Degree,86
Biology,Biophysics,2022,Bachelors Degree,4
Biology,Molecular Biology,2022,Bachelors Degree,6
Biology,Biochemistry & Molecular Biology,2022,Bachelors Degree,24
Biology,Cellular & Molecular Biology,2022,Bachelors Degree,58
Biology,Cell Biology & Anatomy,2022,Bachelors Degree,0
Biology,General Microbiology,2022,Bachelors Degree,8
Biology,Cell Physiology,2022,Bachelors Degree,8
Biology,Pharmacology,2022,Bachelors Degree,13
Biology,Toxicology,2022,Bachelors Degree,10
Biology,Bioinformatics,2022,Bachelors Degree,24
Biology,Biotechnology,2022,Bachelors Degree,12
Biology,Ecology,2022,Bachelors Degree,56
Biology,Evolutionary Biology,2022,Bachelors Degree,10
Biology,Environmental Biology,2022,Bachelors Degree,4
Biology,Ecology & Evolutionary Biology,2022,Bachelors Degree,0
Biology,Neuroscience,2022,Bachelors Degree,211
Math & Statistics,General Mathematics,2022,Bachelors Degree,536
Math & Statistics,Other Mathematics,2022,Bachelors Degree,2
Math & Statistics,General Applied Mathematics,2022,Bachelors Degree,137
Math & Statistics,Computational & Applied Mathematics,2022,Bachelors Degree,2
Math & Statistics,Financial Mathematics,2022,Bachelors Degree,22
Math & Statistics,Other Applied Mathematics,2022,Bachelors Degree,0
Math & Statistics,General Statistics,2022,Bachelors Degree,114
Math & Statistics,Other Mathematics & Statistics,2022,Bachelors Degree,176
Interdisciplinary Studies,General Interdisciplinary Studies,2022,Bachelors Degree,171
Interdisciplinary Studies,Biological & Physical Sciences,2022,Bachelors Degree,115
Interdisciplinary Studies,Peace Studies & Conflict Resolution,2022,Bachelors Degree,18
Interdisciplinary Studies,Mathematics & Computer Science,2022,Bachelors Degree,13
Interdisciplinary Studies,Biopsychology,2022,Bachelors Degree,13
Interdisciplinary Studies,Gerontology,2022,Bachelors Degree,1
